,year,n,mean,ci_lower,ci_upper,cat
63,1974,1729,181.8687102371313,181.55869018887458,182.178730285388,loser
64,1975,1895,181.83166226912928,181.53429504559833,182.12902949266024,loser
65,1976,1960,182.05867346938774,181.76556426084548,182.35178267793,loser
66,1977,2267,182.59461843846492,182.32884019646661,182.86039668046323,loser
67,1978,2425,182.52865979381443,182.2675500626178,182.78976952501105,loser
68,1979,2573,182.70034978624173,182.44600508906674,182.95469448341672,loser
69,1980,2813,182.4838250977604,182.2402834726198,182.72736672290097,loser
70,1981,3029,182.32882139319906,182.09009144397982,182.5675513424183,loser
71,1982,3443,182.33255881498692,182.11017106607216,182.5549465639017,loser
72,1983,3160,182.95917721518987,182.72931056524718,183.18904386513256,loser
73,1984,3058,183.3839110529758,183.1578285400615,183.6099935658901,loser
74,1985,3233,183.23816888339005,183.01583368814227,183.46050407863783,loser
75,1986,3079,183.1312114322832,182.89607684872016,183.36634601584626,loser
76,1987,3372,183.1379003558719,182.91805536575785,183.35774534598593,loser
77,1988,3528,183.1298185941043,182.9232000501184,183.33643713809022,loser
78,1989,3367,183.44045144045145,183.22987022405016,183.65103265685275,loser
79,1990,3469,183.64629576246756,183.43369836518536,183.85889315974975,loser
80,1991,3508,183.55558722919042,183.34728128200072,183.76389317638012,loser
81,1992,3598,184.18426903835464,183.97819645779862,184.39034161891067,loser
82,1993,3714,184.2792137856758,184.07706990976703,184.48135766158458,loser
83,1994,3755,184.37416777629826,184.17857145568027,184.56976409691626,loser
84,1995,3612,184.62707641196013,184.42711368170146,184.8270391422188,loser
85,1996,3572,184.96864501679732,184.77035957767708,185.16693045591757,loser
86,1997,3429,184.75123942840477,184.5513785911263,184.95110026568324,loser
87,1998,3386,184.52421736562314,184.32139691675522,184.72703781449107,loser
88,1999,3137,184.37392413133568,184.15775706087211,184.59009120179925,loser
89,2000,3168,184.16982323232324,183.94920496965455,184.39044149499193,loser
90,2001,3114,184.07000642260758,183.8471935179087,184.29281932730646,loser
91,2002,3002,184.16422385076615,183.93833808641176,184.39010961512054,loser
92,2003,3010,184.35382059800665,184.11914800080143,184.58849319521187,loser
93,2004,3066,185.01696020874104,184.77923938909314,185.25468102838894,loser
94,2005,3057,184.6303565587177,184.39444871457218,184.8662644028632,loser
95,2006,3051,184.59488692232054,184.3700774239342,184.8196964207069,loser
96,2007,2984,184.86628686327077,184.63332630329018,185.09924742325137,loser
97,2008,2930,185.17610921501708,184.93199241197243,185.42022601806173,loser
98,2009,2915,185.03224699828473,184.78794378372174,185.27655021284772,loser
99,2010,2884,185.4521497919556,185.21071309129854,185.69358649261267,loser
100,2011,2861,185.67843411394617,185.4204940622707,185.93637416562163,loser
101,2012,2848,185.7942415730337,185.54134561318034,186.04713753288706,loser
102,2013,2789,186.28899247041952,186.03467958694685,186.54330535389218,loser
103,2014,2771,186.85203897509925,186.59218072240898,187.1118972277895,loser
104,2015,2825,187.00460176991152,186.74481495620935,187.26438858361368,loser
105,2016,2873,186.62130177514794,186.36178878296556,186.88081476733032,loser
106,2017,2832,186.82591807909606,186.563613643993,187.08822251419912,loser
107,2018,2834,186.80698659139026,186.55172565852604,187.06224752425447,loser
108,2019,2778,186.9625629949604,186.69770074311802,187.22742524680277,loser
109,2020,1430,186.48951048951048,186.12433487437886,186.8546861046421,loser
110,2021,2715,186.78821362799263,186.52719047067185,187.0492367853134,loser
111,2022,2884,186.6109570041609,186.35651474058764,186.86539926773415,loser
112,2023,2945,186.6383701188455,186.3990853700549,186.8776548676361,loser
113,2024,3015,186.6915422885572,186.45893823493375,186.92414634218065,loser
