,year,tier,n,mean,ci_lower,ci_upper
7,1975,main,157,182.0700636942675,181.02252037947525,183.11760700905975
8,1976,main,171,182.06432748538012,181.07184803622405,183.05680693453618
9,1977,main,196,181.5,180.57382184774707,182.42617815225293
10,1978,main,217,182.0552995391705,181.17577089501378,182.93482818332723
12,1979,main,244,182.0204918032787,181.21442886659378,182.82655473996363
14,1980,main,267,182.13483146067415,181.34133739471503,182.92832552663327
16,1981,main,302,182.2185430463576,181.47711984575386,182.95996624696136
18,1982,main,343,182.43440233236151,181.74072207599852,183.1280825887245
20,1983,main,361,182.50415512465375,181.83093174229472,183.17737850701278
22,1984,main,362,182.68232044198896,182.02314930009769,183.34149158388024
24,1985,main,406,182.85221674876848,182.2248786683447,183.47955482919227
26,1986,main,387,183.01033591731266,182.36262597525047,183.65804585937485
28,1987,main,410,183.04146341463414,182.42793911973928,183.654987709529
30,1988,main,469,183.20042643923242,182.6137113767516,183.78714150171322
32,1989,main,456,183.23684210526315,182.65084382358526,183.82284038694104
34,1990,main,408,183.54901960784315,182.93537469538492,184.16266452030138
37,1991,main,394,183.74365482233503,183.11617192440212,184.37113772026794
40,1992,main,390,183.76666666666668,183.12523477526815,184.4080985580652
43,1993,main,393,183.80152671755727,183.1681987097429,184.43485472537162
46,1994,main,405,183.60987654320988,183.00609862452328,184.21365446189648
49,1995,main,396,184.010101010101,183.40316375557546,184.61703826462656
52,1996,main,388,183.70103092783506,183.0875925387154,184.31446931695473
55,1997,main,361,183.8421052631579,183.2034112988126,184.48079922750318
58,1998,main,352,183.8096590909091,183.15929742367277,184.46002075814542
61,1999,main,338,183.59467455621302,182.93767230464871,184.25167680777733
64,2000,main,344,183.72383720930233,183.0530608467704,184.39461357183427
67,2001,main,336,183.97321428571428,183.27926499177752,184.66716357965103
70,2002,main,324,184.17283950617283,183.4712770824969,184.87440192984877
73,2003,main,356,184.25,183.56243995436446,184.93756004563554
76,2004,main,338,184.26331360946745,183.56617334084737,184.96045387808752
79,2005,main,348,184.22413793103448,183.5449811741293,184.90329468793965
82,2006,main,361,184.30470914127423,183.64668101959327,184.9627372629552
85,2007,main,349,184.81661891117477,184.15119016800793,185.4820476543416
88,2008,main,363,184.48209366391185,183.79608790633574,185.16809942148797
91,2009,main,330,184.55151515151516,183.8282098799617,185.27482042306863
94,2010,main,355,184.78591549295774,184.08106879237653,185.49076219353896
97,2011,main,336,184.86607142857142,184.12692499954724,185.6052178575956
100,2012,main,338,184.96745562130178,184.24803656704265,185.68687467556092
103,2013,main,340,185.47058823529412,184.76387269324405,186.17730377734418
106,2014,main,330,185.28787878787878,184.55322897718705,186.02252859857052
109,2015,main,337,185.91691394658753,185.2081296903862,186.62569820278887
112,2016,main,364,185.85164835164835,185.1424270526427,186.560869650654
115,2017,main,369,185.9539295392954,185.29827399082052,186.60958508777026
118,2018,main,350,185.94,185.25341348645642,186.62658651354357
121,2019,main,331,186.01510574018127,185.31167193867992,186.71853954168262
124,2020,main,300,186.26,185.5149329906612,187.00506700933877
127,2021,main,370,186.12702702702703,185.46696950855414,186.7870845454999
130,2022,main,378,185.73544973544975,185.0582097735064,186.4126896973931
133,2023,main,397,186.1234256926952,185.49838315278723,186.7484682326032
136,2024,main,390,186.1051282051282,185.46431383966944,186.74594257058698
11,1978,qual_chall,85,183.25882352941176,181.9948991286737,184.52274793014982
13,1979,qual_chall,128,181.578125,180.525349464633,182.630900535367
15,1980,qual_chall,136,181.16176470588235,180.14818980252272,182.17533960924197
17,1981,qual_chall,211,181.43127962085308,180.60271596196822,182.25984327973794
19,1982,qual_chall,238,181.92016806722688,181.1193177015382,182.72101843291557
21,1983,qual_chall,269,182.04832713754647,181.24010773772366,182.85654653736927
23,1984,qual_chall,300,182.21666666666667,181.47598184902685,182.95735148430649
25,1985,qual_chall,345,182.28985507246378,181.59699211416788,182.98271803075968
27,1986,qual_chall,388,182.43556701030928,181.80246620371506,183.0686678169035
29,1987,qual_chall,441,182.94104308390024,182.32655306374855,183.55553310405193
31,1988,qual_chall,538,182.76394052044608,182.22829533771088,183.2995857031813
33,1989,qual_chall,528,183.05871212121212,182.51612369356022,183.60130054886403
35,1990,qual_chall,451,183.17073170731706,182.60699081866687,183.73447259596725
38,1991,qual_chall,494,183.21457489878543,182.64808745927883,183.78106233829203
41,1992,qual_chall,433,183.3002309468822,182.68811329846469,183.91234859529973
44,1993,qual_chall,460,183.41739130434783,182.84125899705384,183.99352361164182
47,1994,qual_chall,439,183.29612756264237,182.72179887156958,183.87045625371516
50,1995,qual_chall,411,183.43552311435522,182.84612092989616,184.02492529881428
53,1996,qual_chall,429,183.25174825174824,182.66338239698737,183.8401141065091
56,1997,qual_chall,434,183.2188940092166,182.63519191015556,183.80259610827764
59,1998,qual_chall,421,183.46318289786223,182.87118522167364,184.0551805740508
62,1999,qual_chall,435,183.29655172413794,182.71352009823033,183.87958335004555
65,2000,qual_chall,435,183.22988505747125,182.6450616379212,183.8147084770213
68,2001,qual_chall,471,183.5053078556263,182.91751278175605,184.09310292949658
71,2002,qual_chall,435,184.13563218390806,183.5435762414851,184.727688126331
74,2003,qual_chall,470,184.0659574468085,183.5024529715455,184.62946192207153
77,2004,qual_chall,471,184.17622080679405,183.58078017450984,184.77166143907826
80,2005,qual_chall,492,184.4308943089431,183.84765026493974,185.01413835294645
83,2006,qual_chall,480,184.83958333333334,184.26117840360965,185.41798826305703
86,2007,qual_chall,562,184.48398576512454,183.9470665281985,185.0209050020506
89,2008,qual_chall,576,184.63194444444446,184.10208296475417,185.16180592413474
92,2009,qual_chall,572,184.493006993007,183.95503095314245,185.03098303287152
95,2010,qual_chall,548,184.68065693430657,184.13634031192393,185.2249735566892
98,2011,qual_chall,550,184.47636363636363,183.92621817782444,185.02650909490282
101,2012,qual_chall,586,184.67235494880546,184.13607258472814,185.2086373128828
104,2013,qual_chall,610,184.79508196721312,184.274542528976,185.31562140545023
107,2014,qual_chall,590,184.84915254237288,184.32351792223176,185.374787162514
110,2015,qual_chall,643,184.89891135303267,184.39650305098553,185.40131965507982
113,2016,qual_chall,800,184.79625,184.33308196218175,185.25941803781822
116,2017,qual_chall,836,184.7141148325359,184.2580873564928,185.170142308579
119,2018,qual_chall,893,184.67861142217245,184.2339369289484,185.1232859153965
122,2019,qual_chall,808,184.70049504950495,184.23366168366263,185.16732841534727
125,2020,qual_chall,614,184.98371335504885,184.47210801811022,185.49531869198748
128,2021,qual_chall,804,184.81592039800995,184.36666200442406,185.26517879159584
131,2022,qual_chall,1078,184.23840445269016,183.8421800135033,184.63462889187701
134,2023,qual_chall,1146,184.2460732984293,183.8511772231193,184.64096937373932
137,2024,qual_chall,1088,184.25735294117646,183.85461573454512,184.6600901478078
