id,name,ht
102184,David Prinosil,185.0
101334,Alexander Volkov,188.0
102809,Axel Pretzsch,185.0
102359,Andrew Richardson,201.0
101249,Andrei Olhovskiy,185.0
102437,Adrian Voinea,185.0
101937,Robbie Koenig,173.0
101567,Hendrik Jan Davids,183.0
103096,Arnaud Clement,173.0
102205,Sebastien Lareau,183.0
101636,Wade Mcguire,188.0
101901,Chuck Adams,185.0
103154,Jaymon Crabb,183.0
101682,David Adams,188.0
102654,Steven Downs,183.0
102464,Todd Larkham,178.0
101860,Mark Draper,185.0
102304,Grant Doyle,180.0
103813,Jarkko Nieminen,185.0
104594,Marinko Matosevic,194.0
105023,Sam Querrey,198.0
105032,Sam Groth,193.0
104871,Jeremy Chardy,188.0
103852,Feliciano Lopez,188.0
103720,Lleyton Hewitt,180.0
105227,Marin Cilic,198.0
105051,Matthew Ebden,188.0
103819,Roger Federer,185.0
105453,Kei Nishikori,178.0
103794,Benjamin Becker,178.0
105379,Aljaz Bedene,181.0
104628,Alexander Kudryavtsev,183.0
104229,Yen Hsun Lu,180.0
105577,Vasek Pospisil,193.0
106368,Ramkumar Ramanathan,188.0
104198,Guillermo Garcia Lopez,188.0
106210,Jiri Vesely,198.0
104534,Dudi Sela,175.0
104527,Stan Wawrinka,183.0
105332,Benoit Paire,196.0
104745,Rafael Nadal,185.0
104735,Tobias Kamke,180.0
105208,Ernests Gulbis,190.0
103333,Ivo Karlovic,208.0
104460,Dustin Brown,196.0
104259,Philipp Kohlschreiber,178.0
104269,Fernando Verdasco,188.0
103812,Victor Hanescu,198.0
104252,Florian Mayer,190.0
104792,Gael Monfils,193.0
104978,Daniel Brands,196.0
103970,David Ferrer,175.0
105385,Donald Young,183.0
105053,Santiago Giraldo,188.0
105449,Steve Johnson,188.0
104547,Horacio Zeballos,188.0
105041,Lukas Lacko,185.0
105138,Roberto Bautista Agut,183.0
103285,Radek Stepanek,185.0
105077,Albert Ramos,188.0
103898,Julien Benneteau,185.0
104660,Sergiy Stakhovsky,193.0
104882,Blaz Kavcic,188.0
105238,Alexandr Dolgopolov,180.0
105223,Juan Martin del Potro,198.0
104098,Dmitry Tursunov,185.0
106423,Thanasi Kokkinakis,193.0
104312,Andreas Seppi,190.0
105683,Milos Raonic,196.0
106401,Nick Kyrgios,193.0
104672,Vincent Millot,173.0
103582,Michael Berrer,193.0
103565,Stephane Robert,185.0
104308,Michal Przysiezny,185.0
105641,Blaz Rola,193.0
104542,Jo-Wilfried Tsonga,188.0
105064,Thomaz Bellucci,188.0
104468,Gilles Simon,183.0
104607,Tomas Berdych,196.0
104932,Kenny De Schepper,203.0
104471,Ivan Dodig,183.0
104731,Kevin Anderson,203.0
106233,Dominic Thiem,185.0
104022,Mikhail Youzhny,183.0
104665,Pablo Andujar,180.0
105668,Jerzy Janowicz,203.0
104268,Alejandro Falla,185.0
103990,Tommy Robredo,180.0
103786,Nikolay Davydenko,178.0
104926,Fabio Fognini,178.0
104919,Leonardo Mayer,188.0
104925,Novak Djokovic,188.0
105842,Di Wu,175.0
105585,Ze Zhang,188.0
105497,Jose Hernandez,183.0
103607,Victor Estrella,173.0
105877,Emilio Gomez,185.0
106175,Ricardo Rodriguez,189.0
104500,Somdev Devvarman,180.0
105031,Saketh Myneni,193.0
105311,Joao Sousa,185.0
106393,Frederico Ferreira Silva,178.0
105011,Illya Marchenko,185.0
106174,Gonzalo Lama,180.0
105985,Darian King,188.0
104477,Jorge Aguilar,178.0
105806,Mirza Basic,188.0
109737,Markos Kalovelonis,191.0
106078,Egor Gerasimov,196.0
105273,Mauricio Echazu,174.0
106198,Hugo Dellien,180.0
105456,Sergio Galdos,180.0
104233,Frederik Nielsen,190.0
111453,Mikael Torpegaard,193.0
117365,Petros Chrysochos,185.0
105004,Dimitar Kutrovsky,175.0
104960,Miguel Angel Reyes Varela,175.0
104180,Gilles Muller,193.0
105430,Radu Albot,175.0
105827,Laurynas Grigelis,183.0
105575,Ricardas Berankis,175.0
108748,Lukas Mugevicius,188.0
104763,Rafael Arevalo,180.0
106033,Romain Arneodo,175.0
103573,Rik De Voest,180.0
104600,Treat Conrad Huey,178.0
104122,Carlos Berlocq,183.0
104433,Frank Dancevic,185.0
104424,Go Soeda,178.0
105062,Mikhail Kukushkin,183.0
105676,David Goffin,180.0
105936,Filip Krajinovic,185.0
104868,James Ward,190.0
103908,Paul Henri Mathieu,185.0
105874,Albano Olivetti,203.0
105732,Pierre Hugues Herbert,188.0
102967,Marc Gicquel,188.0
105807,Pablo Carreno Busta,188.0
104651,Martin Alund,183.0
106121,Taro Daniel,191.0
103893,Paolo Lorenzi,183.0
104593,Daniel Gimeno Traver,185.0
104597,Nicolas Almagro,183.0
105554,Daniel Evans,175.0
103451,Bjorn Phau,175.0
103835,Filippo Volandri,183.0
104166,Alex Bogomolov Jr,178.0
104571,Marcos Baghdatis,183.0
105065,Tim Smyczek,175.0
103188,Michael Russell,173.0
104864,Alex Kuznetsov,183.0
106045,Denis Kudla,180.0
103894,Phillip King,175.0
106397,Wishaya Trongcharoenchaikul,193.0
111181,Pruchya Isarow,175.0
144775,Linh Giang Trinh,183.0
105733,Rhyne Williams,185.0
105526,Jan Lennard Struff,193.0
103566,Michael Llodra,190.0
103656,Albert Montanes,175.0
105487,Facundo Bagnis,183.0
104655,Pablo Cuevas,180.0
104338,Juan Monaco,185.0
104291,Malek Jaziri,185.0
103808,Potito Starace,188.0
104297,Rogerio Dutra Silva,178.0
104890,Andreas Haider Maurer,190.0
105154,Joao Souza,193.0
105292,Alejandro Gonzalez,190.0
105539,Evgeny Donskoy,185.0
105217,Thiemo De Bakker,193.0
104736,Farrukh Dustov,196.0
126209,Peter Bertran,183.0
108701,Juan Sebastian Cabal,185.0
105790,Yong Kyu Lim,185.0
106432,Borna Coric,188.0
104804,Amir Weintraub,188.0
105613,Norbert Gombos,193.0
106426,Cristian Garin,185.0
104945,James Mcgee,183.0
104467,Lamine Ouahab,185.0
104112,Benjamin Balleret,185.0
103529,Aisam Ul Haq Qureshi,183.0
106136,Warit Sornbutnark,180.0
106290,Filip Peliwo,180.0
106148,Roberto Carballes Baena,183.0
103781,Jurgen Melzer,183.0
104494,Adrian Ungur,178.0
104349,Rui Machado,178.0
105137,Pere Riba,183.0
104620,Simone Bolelli,183.0
106243,Mate Delic,196.0
106186,Jason Kubler,178.0
110748,Nikola Milojevic,188.0
105132,Jurgen Zopp,190.0
105678,Axel Michon,176.0
106043,Diego Schwartzman,170.0
105902,James Duckworth,183.0
104619,Jesse Huta Galung,188.0
104499,Jimmy Wang,178.0
103401,Jan Hernych,190.0
105047,Tim Puetz,185.0
106291,Luke Saville,188.0
104714,Julian Reister,188.0
105302,Ante Pavic,196.0
111200,Elias Ymer,185.0
105872,Christian Lindell,193.0
105572,Austin Krajicek,188.0
104330,Rajeev Ram,193.0
105147,Tatsuma Ito,180.0
106053,Philip Davydenko,183.0
104476,Louk Sorensen,175.0
105161,Yann Marti,173.0
105166,Peter Polansky,180.0
100644,Alexander Zverev,198.0
104068,Robby Ginepri,183.0
105967,Henri Laaksonen,185.0
104678,Viktor Troicki,193.0
104897,Matthias Bachinger,188.0
104770,Martin Fischer,180.0
126094,Andrey Rublev,188.0
111202,Hyeon Chung,188.0
105853,Tigre Hank,188.0
123983,Nerman Fatic,191.0
103821,Danai Udomchoke,173.0
104332,Philipp Petzschner,185.0
105934,Chuhan Wang,188.0
106298,Lucas Pouille,185.0
207830,Tomas Machac,183.0
126340,Viktor Durasovic,185.0
202195,Maxime Cressy,201.0
122298,Botic Van De Zandschulp,191.0
117356,Cem Ilkel,185.0
200514,Jurij Rodionov,191.0
109699,Julian Lenz,188.0
106348,Evgeny Karlovskiy,191.0
105441,John Patrick Smith,188.0
105074,Ruben Bemelmans,183.0
109303,Stefano Napolitano,196.0
144645,Zdenek Kolar,183.0
104327,Steve Darcis,178.0
144817,Marc Andrea Huesler,196.0
125802,Ilya Ivashka,193.0
124116,Sebastian Ofner,191.0
200325,Emil Ruusuvuori,188.0
144750,Lloyd Harris,193.0
111794,Kamil Majchrzak,180.0
126204,Gerardo Lopez Villasenor,191.0
200465,Sem Verbeek,193.0
105688,Manuel Sanchez,183.0
205734,Thiago Seyboth Wild,185.0
124186,Alexandre Muller,183.0
110778,Joao Menezes,185.0
124014,Ernesto Escobedo,185.0
106057,Facundo Mena,183.0
105529,Carlos Gomez Herrera,191.0
126214,Alejandro Tabilo,188.0
104386,Janko Tipsarevic,180.0
105271,Gonzalo Escobar,178.0
144642,Tomas Barrios Vera,191.0
106203,Pedro Sakamoto,178.0
110536,Kevin King,191.0
104629,Adrian Menendez Maceiras,185.0
105933,Roberto Quiroz,193.0
111192,Lucas Miedler,183.0
122330,Alexander Bublik,196.0
144814,Eero Vasa,185.0
106220,Dimitar Kuzmanov,183.0
126609,Patrik Niklas Salminen,188.0
106331,Christopher Oconnell,183.0
106105,Guilherme Clezar,183.0
131905,Manuel Guinard,198.0
106234,Aslan Karatsev,185.0
133975,Benjamin Hassan,183.0
120775,Sadio Doumbia,183.0
104729,Ivan Nedelko,185.0
144707,Mikael Ymer,183.0
106353,Pedja Krstin,183.0
106110,Filip Horansky,175.0
134868,Tallon Griekspoor,188.0
106293,Kimmer Coppejans,178.0
105948,Federico Coria,180.0
105155,Pedro Sousa,180.0
200228,Felix Corwin,188.0
126846,Aleksandar Vukic,188.0
111578,Stefan Kozlov,183.0
133018,Michail Pervolarakis,193.0
111574,Jc Aragone,178.0
123768,Collin Altamirano,188.0
144826,Aziz Dougaz,188.0
200265,Ulises Blanch,188.0
202318,Roy Smith,191.0
105871,Sekou Bangoura,183.0
126845,Max Purcell,185.0
111153,Christopher Eubanks,201.0
105819,Guido Andreozzi,183.0
106216,Bjorn Fratangelo,183.0
111513,Laslo Djere,188.0
111456,Mackenzie Mcdonald,178.0
105341,Thomas Fabbiano,173.0
109739,Maximilian Marterer,188.0
200005,Ugo Humbert,188.0
120424,Yannick Maden,185.0
106329,Thiago Monteiro,183.0
105432,Prajnesh Gunneswaran,188.0
132283,Lorenzo Sonego,191.0
126205,Tommy Paul,185.0
200221,Alejandro Davidovich Fokina,183.0
126237,Gian Marco Moroni,185.0
105477,Marco Trungelliti,178.0
111795,Filippo Baldi,183.0
105634,Viktor Galovic,193.0
110602,Dennis Novak,183.0
123755,Daniel Elahi Galan,191.0
105216,Yuichi Sugita,173.0
111511,Noah Rubin,175.0
106109,Alex Bolt,183.0
106072,Alexey Vatutin,178.0
126523,Bernabe Zapata Miralles,183.0
106032,Facundo Arguello,178.0
106005,Constant Lestienne,180.0
200611,Elliot Benchetrit,193.0
105870,Yannick Hanfmann,193.0
207491,Sandro Kopp,185.0
106296,Gregoire Barrere,183.0
200615,Alexei Popyrin,196.0
104970,Matteo Viola,188.0
111187,Kaichi Uchida,180.0
200175,Miomir Kecmanovic,183.0
106415,Yoshihito Nishioka,170.0
126952,Soon Woo Kwon,180.0
134770,Casper Ruud,183.0
105357,John Millman,183.0
106034,Yasutaka Uchiyama,183.0
105882,Stefano Travaglia,185.0
105916,Marton Fucsovics,188.0
111815,Cameron Norrie,188.0
126125,Maxime Janvier,196.0
200384,Hugo Gaston,173.0
144946,Rayane Roumane,193.0
144895,Corentin Moutet,180.0
126177,Strong Kirchheimer,185.0
131934,Andrea Vavassori,193.0
133835,Gijs Brouwer,191.0
206909,Brandon Nakashima,188.0
106310,Alexander Ritschard,193.0
106281,Liam Broady,183.0
206499,Aleksandar Kovacevic,183.0
111581,Michael Mmoh,188.0
122548,Edan Leshem,183.0
200670,J J Wolf,183.0
122078,Dmitry Popko,191.0
200624,Sebastian Korda,196.0
105960,Evan King,185.0
111460,Quentin Halys,191.0
126156,Antoine Hoang,183.0
109686,Riccardo Bonadio,180.0
134840,Raul Brancaccio,185.0
206758,Antoine Cornut Chauvinc,188.0
126127,Benjamin Bonzi,183.0
105590,Uladzimir Ignatik,183.0
106362,Laurent Lokoli,188.0
126535,Carlos Taberner,183.0
104563,Luca Vanni,198.0
121531,Mats Moraing,198.0
106420,Gianluigi Quinzi,191.0
207764,Ryan Nijboer,180.0
132842,Julian Ocleppo,191.0
106228,Juan Ignacio Londero,180.0
126149,Gianluca Mager,188.0
111576,Sumit Nagal,178.0
117360,Marc Polmans,188.0
111790,Brayden Schnur,193.0
105063,Andrea Arnaboldi,180.0
111797,Nicolas Jarry,201.0
105649,Cedrik Marcel Stebe,183.0
106064,Lucas Renard,183.0
127157,Daniel Altmaier,188.0
105091,Peter Torebko,185.0
105226,Attila Balazs,180.0
200484,Rudolf Molleker,188.0
106099,Salvatore Caruso,185.0
144684,Alex Molcan,178.0
127760,Lukas Klein,193.0
126185,Evgenii Tiurnev,191.0
200672,Sergey Fomin,180.0
106117,Carlos Boluda Purkiss,165.0
106187,Denis Yevseyev,188.0
105747,Karim Mohamed Maamoun,175.0
105938,Antoine Escoffier,185.0
105751,Roberto Ortega Olmedo,168.0
106232,Roberto Cid,193.0
123819,Goncalo Oliveira,185.0
200303,Pavel Kotov,191.0
200390,Kacper Zuk,183.0
126151,Pavel Nejedly,178.0
109054,Daniel Masur,183.0
109318,Pawel Cias,178.0
106075,Jozef Kovalik,183.0
123809,Ivan Gakhov,191.0
207415,Daniel Michalski,180.0
105692,Alessandro Bega,173.0
122351,Johannes Haerteis,196.0
106065,Marco Cecchinato,185.0
106040,Peter Heller,185.0
105963,Arthur De Greef,183.0
106292,Hernan Casanova,178.0
136440,Dominik Koepfer,180.0
202333,Keegan Smith,201.0
200589,Sam Riffice,188.0
117361,Akira Santillan,180.0
127339,Borna Gojo,196.0
105512,Alexander Sarkissian,191.0
206173,Jannik Sinner,191.0
106218,Marcos Giron,180.0
133297,Yosuke Watanuki,180.0
104999,Mischa Zverev,190.0
207408,Niklas Guttau,178.0
144972,Geoffrey Blancaneaux,180.0
200266,Javier Barranco Cosano,180.0
106398,Pedro Cachin,185.0
124079,Pedro Martinez,185.0
105156,Federico Zeballos,185.0
200711,Nicolas Mejia,183.0
202103,Francisco Cerundolo,185.0
106006,Agustin Velotti,174.0
144821,Genaro Alberto Olivieri,175.0
122425,Rafael Matos,180.0
202262,Filip Cristian Jianu,180.0
200335,Felipe Meligeni Alves,185.0
202104,Sebastian Baez,170.0
207678,Juan Manuel Cerundolo,183.0
106249,Joao Domingues,178.0
144719,Jaume Munar,183.0
106408,Mario Vilella Martinez,178.0
200240,Vit Kopriva,178.0
105757,Sandro Ehrat,180.0
105714,Hugo Nys,185.0
